origin_lat,origin_lon,dest_lat,dest_lon,city_name
25.03225,-77.38968,25.07744,-77.34075,Nassau_New Providence_BHS
43.646,-79.38424,43.64869,-79.38544,Toronto_Ontario_CAN
45.53099,-73.61904,45.5124,-73.55469,Montreal_Quebec_CAN
50.9068,-113.94777,51.04532,-114.06301,Calgary_Alberta_CAN
45.3572,-75.79073,45.42178,-75.69119,Ottawa_Ontario_CAN
53.50841,-113.50441,53.54624,-113.49037,Edmonton_Alberta_CAN
43.64433,-79.70958,43.58691,-79.64535,Mississauga_Ontario_CAN
49.92215,-97.17141,49.89953,-97.14113,Winnipeg_Manitoba_CAN
49.28337,-123.12109,49.26038,-123.11336,Vancouver_British Columbia_CAN
43.7652,-79.73495,43.68431,-79.75872,Brampton_Ontario_CAN
43.23541,-79.87696,43.26197,-79.888,Hamilton_Ontario_CAN
46.79681,-71.32039,46.81273,-71.2193,Quebec City_Quebec_CAN
49.2162,-122.84736,49.19165,-122.85002,Surrey_British Columbia_CAN
44.64572,-63.66319,44.64548,-63.57655,Halifax_Nova Scotia_CAN
42.94397,-81.20904,42.9869,-81.24624,London_Ontario_CAN
43.84733,-79.34802,43.85651,-79.33982,Markham_Ontario_CAN
43.85835,-79.50445,43.8565,-79.50762,Vaughan_Ontario_CAN
49.22717,-122.98896,49.24455,-122.97299,Burnaby_British Columbia_CAN
52.07543,-106.61373,52.13049,-106.65926,Saskatoon_Saskatchewan_CAN
43.48881,-80.4732,43.45124,-80.49304,Kitchener_Ontario_CAN
42.27396,-82.9991,42.31785,-83.03387,Windsor_Ontario_CAN
50.43348,-104.53217,50.44825,-104.59517,Regina_Saskatchewan_CAN
49.19224,-123.13491,49.16335,-123.13664,Richmond_British Columbia_CAN
43.85469,-79.43431,43.84745,-79.37849,Richmond Hill_Ontario_CAN
43.39371,-79.73985,43.46643,-79.69001,Oakville_Ontario_CAN
43.35394,-79.78824,43.3262,-79.79863,Burlington_Ontario_CAN
46.49149,-81.00713,46.48959,-80.99011,Greater Sudbury_Ontario_CAN
43.87711,-78.85672,43.88869,-78.85952,Oshawa_Ontario_CAN
44.41071,-79.68821,44.3893,-79.68626,Barrie_Ontario_CAN
49.05376,-122.32885,49.05162,-122.3293,Abbotsford_British Columbia_CAN
43.15353,-79.26527,43.15635,-79.24869,St Catharines_Ontario_CAN
46.34781,-72.56845,46.34017,-72.54503,Trois-Rivieres_Quebec_CAN
43.35729,-80.3154,43.36141,-80.31533,Cambridge_Ontario_CAN
49.23643,-122.87043,49.28492,-122.79438,Coquitlam_British Columbia_CAN
44.24294,-76.56222,44.23154,-76.47933,Kingston_Ontario_CAN
43.90414,-78.9488,43.89952,-78.94125,Whitby_Ontario_CAN
43.55897,-80.22281,43.54456,-80.24788,Guelph_Ontario_CAN
49.84764,-119.38321,49.88698,-119.49661,Kelowna_British Columbia_CAN
48.52601,-123.36838,48.45895,-123.37672,Saanich_British Columbia_CAN
43.86801,-79.03931,43.85076,-79.02107,Ajax_Ontario_CAN
48.40447,-89.24211,48.38169,-89.2455,Thunder Bay_Ontario_CAN
47.57749,-52.72911,47.56064,-52.71232,St John's_Newfoundland and Labrador_CAN
49.08582,-122.62141,49.12069,-122.65565,Langley Twp_British Columbia_CAN
42.41659,-82.20242,42.40462,-82.1896,Chatham-Kent_Ontario_CAN
9.92077,-84.08248,9.92975,-84.08569,San José_San José_CRI
23.13635,-82.37662,23.13211,-82.36749,Ciudad de la Habana_Ciudad de la Habana_CUB
20.05336,-75.80889,20.02583,-75.80809,Santiago de Cuba_Santiago de Cuba_CUB
